country,node,bus,carrier
KG,KG_BA,KG_BA_IND-LH,Low_Heat
KG,KG_BA,KG_BA_IND-HH,High_Heat
KG,KG_BA,KG_BA_INLHSTORN,Low_Heat
KG,KG_CH,KG_CH_IND-LH,Low_Heat
KG,KG_CH,KG_CH_IND-HH,High_Heat
KG,KG_CH,KG_CH_INLHSTORN,Low_Heat
KG,KG_JA,KG_JA_IND-LH,Low_Heat
KG,KG_JA,KG_JA_IND-HH,High_Heat
KG,KG_JA,KG_JA_INLHSTORN,Low_Heat
KG,KG_NR,KG_NR_IND-LH,Low_Heat
KG,KG_NR,KG_NR_IND-HH,High_Heat
KG,KG_NR,KG_NR_INLHSTORN,Low_Heat
KG,KG_OS,KG_OS_IND-LH,Low_Heat
KG,KG_OS,KG_OS_IND-HH,High_Heat
KG,KG_OS,KG_OS_INLHSTORN,Low_Heat
KG,KG_TL,KG_TL_IND-LH,Low_Heat
KG,KG_TL,KG_TL_IND-HH,High_Heat
KG,KG_TL,KG_TL_INLHSTORN,Low_Heat
KG,KG_YK,KG_YK_IND-LH,Low_Heat
KG,KG_YK,KG_YK_IND-HH,High_Heat
KG,KG_YK,KG_YK_INLHSTORN,Low_Heat
KZ,KZ_NR,KZ_NR_IND-LH,Low_Heat
KZ,KZ_NR,KZ_NR_IND-HH,High_Heat
KZ,KZ_NR,KZ_NR_INLHSTORN,Low_Heat
KZ,KZ_SO,KZ_SO_IND-LH,Low_Heat
KZ,KZ_SO,KZ_SO_IND-HH,High_Heat
KZ,KZ_SO,KZ_SO_INLHSTORN,Low_Heat
KZ,KZ_WS,KZ_WS_IND-LH,Low_Heat
KZ,KZ_WS,KZ_WS_IND-HH,High_Heat
KZ,KZ_WS,KZ_WS_INLHSTORN,Low_Heat
UZ,UZ_UZ,UZ_UZ_IND-LH,Low_Heat
UZ,UZ_UZ,UZ_UZ_IND-HH,High_Heat
UZ,UZ_UZ,UZ_UZ_INLHSTORN,Low_Heat
