country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2023,p_nom_max_2030,p_nom_max_2035,p_nom_min_2023,p_nom_min_2030,p_nom_min_2035
KG,KG_BA,SWHT,Solar,KG_BA_IND-LH,KG_BA_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_CH,SWHT,Solar,KG_CH_IND-LH,KG_CH_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_JA,SWHT,Solar,KG_JA_IND-LH,KG_JA_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_NR,SWHT,Solar,KG_NR_IND-LH,KG_NR_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_OS,SWHT,Solar,KG_OS_IND-LH,KG_OS_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_TL,SWHT,Solar,KG_TL_IND-LH,KG_TL_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_YK,SWHT,Solar,KG_YK_IND-LH,KG_YK_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_NR,SWHT,Solar,KZ_NR_IND-LH,KZ_NR_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_SO,SWHT,Solar,KZ_SO_IND-LH,KZ_SO_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_WS,SWHT,Solar,KZ_WS_IND-LH,KZ_WS_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
UZ,UZ_UZ,SWHT,Solar,UZ_UZ_IND-LH,UZ_UZ_IND-LH_SWHT,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
