country,node,bus,profile_type,name,total_load__mwh,carrier,year
KG,KG_BA,KG_BA_IND-LH,IND_LOAD,KG_BA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_BA,KG_BA_IND-HH,IND_LOAD,KG_BA_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_BA,KG_BA_IND-LH,IND_LOAD,KG_BA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_BA,KG_BA_IND-HH,IND_LOAD,KG_BA_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_BA,KG_BA_IND-LH,IND_LOAD,KG_BA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_BA,KG_BA_IND-HH,IND_LOAD,KG_BA_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KG,KG_CH,KG_CH_IND-LH,IND_LOAD,KG_CH_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_CH,KG_CH_IND-HH,IND_LOAD,KG_CH_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_CH,KG_CH_IND-LH,IND_LOAD,KG_CH_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_CH,KG_CH_IND-HH,IND_LOAD,KG_CH_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_CH,KG_CH_IND-LH,IND_LOAD,KG_CH_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_CH,KG_CH_IND-HH,IND_LOAD,KG_CH_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KG,KG_JA,KG_JA_IND-LH,IND_LOAD,KG_JA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_JA,KG_JA_IND-HH,IND_LOAD,KG_JA_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_JA,KG_JA_IND-LH,IND_LOAD,KG_JA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_JA,KG_JA_IND-HH,IND_LOAD,KG_JA_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_JA,KG_JA_IND-LH,IND_LOAD,KG_JA_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_JA,KG_JA_IND-HH,IND_LOAD,KG_JA_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KG,KG_NR,KG_NR_IND-LH,IND_LOAD,KG_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_NR,KG_NR_IND-HH,IND_LOAD,KG_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_NR,KG_NR_IND-LH,IND_LOAD,KG_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_NR,KG_NR_IND-HH,IND_LOAD,KG_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_NR,KG_NR_IND-LH,IND_LOAD,KG_NR_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_NR,KG_NR_IND-HH,IND_LOAD,KG_NR_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
KG,KG_OS,KG_OS_IND-LH,IND_LOAD,KG_OS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2023
KG,KG_OS,KG_OS_IND-HH,IND_LOAD,KG_OS_IND-HH_IND_LOAD,Please fill here,High_Heat,2023
KG,KG_OS,KG_OS_IND-LH,IND_LOAD,KG_OS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2030
KG,KG_OS,KG_OS_IND-HH,IND_LOAD,KG_OS_IND-HH_IND_LOAD,Please fill here,High_Heat,2030
KG,KG_OS,KG_OS_IND-LH,IND_LOAD,KG_OS_IND-LH_IND_LOAD,Please fill here,Low_Heat,2035
KG,KG_OS,KG_OS_IND-HH,IND_LOAD,KG_OS_IND-HH_IND_LOAD,Please fill here,High_Heat,2035
