country,bus,supply_plant,carrier,max_supply__mwh_year,fuel_cost__usd_mwh,year
KG,KG_BION,TGEN_BION,Bio,inf,7.4076,2023
KG,KG_BION,TGEN_BION,Bio,inf,7.4076,2030
KG,KG_BION,TGEN_BION,Bio,inf,7.4076,2035
KG,KG_BITN,TGEN_BITN,Bit,inf,0.93,2023
KG,KG_BITN,TGEN_BITN,Bit,inf,0.93,2030
KG,KG_BITN,TGEN_BITN,Bit,inf,0.93,2035
KG,KG_GASN,TGEN_GASN,Gas,inf,18.01,2023
KG,KG_GASN,TGEN_GASN,Gas,inf,18.01,2030
KG,KG_GASN,TGEN_GASN,Gas,inf,18.01,2035
KG,KG_HRDCN,TGEN_HRDCN,Hrdc,inf,0.93,2023
KG,KG_HRDCN,TGEN_HRDCN,Hrdc,inf,0.93,2030
KG,KG_HRDCN,TGEN_HRDCN,Hrdc,inf,0.93,2035
KG,KG_LIGN,TGEN_LIGN,Lig,inf,0.93,2023
KG,KG_LIGN,TGEN_LIGN,Lig,inf,0.93,2030
KG,KG_LIGN,TGEN_LIGN,Lig,inf,0.93,2035
KG,KG_LNGN,TGEN_LNGN,Lng,inf,18.01,2023
KG,KG_LNGN,TGEN_LNGN,Lng,inf,18.01,2030
KG,KG_LNGN,TGEN_LNGN,Lng,inf,18.01,2035
KG,KG_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2023
KG,KG_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2030
KG,KG_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2035
KG,KG_OILN,TGEN_OILN,Oil,inf,235.7,2023
KG,KG_OILN,TGEN_OILN,Oil,inf,235.7,2030
KG,KG_OILN,TGEN_OILN,Oil,inf,235.7,2035
KZ,KZ_BION,TGEN_BION,Bio,inf,7.4076,2023
KZ,KZ_BION,TGEN_BION,Bio,inf,7.4076,2030
KZ,KZ_BION,TGEN_BION,Bio,inf,7.4076,2035
KZ,KZ_GASN,TGEN_GASN,Gas,inf,7.09,2023
KZ,KZ_GASN,TGEN_GASN,Gas,inf,7.09,2030
KZ,KZ_GASN,TGEN_GASN,Gas,inf,7.09,2035
KZ,KZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2023
KZ,KZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2030
KZ,KZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2035
KZ,KZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2023
KZ,KZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2030
KZ,KZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2035
KZ,KZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2023
KZ,KZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2030
KZ,KZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2035
KZ,KZ_OILN,TGEN_OILN,Oil,inf,52.9111,2023
KZ,KZ_OILN,TGEN_OILN,Oil,inf,52.9111,2030
KZ,KZ_OILN,TGEN_OILN,Oil,inf,52.9111,2035
UZ,UZ_BION,TGEN_BION,Bio,inf,7.4076,2023
UZ,UZ_BION,TGEN_BION,Bio,inf,7.4076,2030
UZ,UZ_BION,TGEN_BION,Bio,inf,7.4076,2035
UZ,UZ_BITN,TGEN_BITN,Bit,inf,0,2023
UZ,UZ_BITN,TGEN_BITN,Bit,inf,0,2030
UZ,UZ_BITN,TGEN_BITN,Bit,inf,0,2035
UZ,UZ_GASN,TGEN_GASN,Gas,inf,14.9,2023
UZ,UZ_GASN,TGEN_GASN,Gas,inf,14.9,2030
UZ,UZ_GASN,TGEN_GASN,Gas,inf,14.9,2035
UZ,UZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2023
UZ,UZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2030
UZ,UZ_HRDCN,TGEN_HRDCN,Hrdc,inf,1.4,2035
UZ,UZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2023
UZ,UZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2030
UZ,UZ_LIGN,TGEN_LIGN,Lig,inf,1.4,2035
UZ,UZ_LNGN,TGEN_LNGN,Lng,inf,14.9,2023
UZ,UZ_LNGN,TGEN_LNGN,Lng,inf,14.9,2030
UZ,UZ_LNGN,TGEN_LNGN,Lng,inf,14.9,2035
UZ,UZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2023
UZ,UZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2030
UZ,UZ_NUCLN,TGEN_NUCLN,Uranium,inf,3.4122,2035
UZ,UZ_OILN,TGEN_OILN,Oil,inf,52.9111,2023
UZ,UZ_OILN,TGEN_OILN,Oil,inf,52.9111,2030
UZ,UZ_OILN,TGEN_OILN,Oil,inf,52.9111,2035
