country,bus0,bus1,bus2,bus3,type,link,carrier,p_nom,p_nom_extendable,p_nom_max_2023,p_nom_max_2030,p_nom_max_2035,p_nom_min_2023,p_nom_min_2030,p_nom_min_2035
KG,KG_BION,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,BIOT,KG_BION_to_KG_KG_HVELEC_by_BIOT,Bio,0,FALSE,0,0,0,0,0,0
KG,KG_BITN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SubC,KG_BITN_to_KG_KG_HVELEC_by_SubC,Bit,0,TRUE,0,0,0,0,0,0
KG,KG_BITN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SupC,KG_BITN_to_KG_KG_HVELEC_by_SupC,Bit,0,TRUE,0,0,0,0,0,0
KG,KG_GASN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,CCGT,KG_GASN_to_KG_KG_HVELEC_by_CCGT,Gas,0,TRUE,0,0,0,0,0,0
KG,KG_GASN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,OCGT,KG_GASN_to_KG_KG_HVELEC_by_OCGT,Gas,0,TRUE,0,0,0,0,0,0
KG,KG_HRDCN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SubC,KG_HRDCN_to_KG_KG_HVELEC_by_SubC,Hrdc,0,TRUE,0,0,0,0,0,0
KG,KG_HRDCN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SupC,KG_HRDCN_to_KG_KG_HVELEC_by_SupC,Hrdc,0,TRUE,0,0,0,0,0,0
KG,KG_LIGN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SubC,KG_LIGN_to_KG_KG_HVELEC_by_SubC,Lig,812,TRUE,0,0,0,0,0,0
KG,KG_LIGN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,SupC,KG_LIGN_to_KG_KG_HVELEC_by_SupC,Lig,0,TRUE,0,0,0,0,0,0
KG,KG_NUCLN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,NUCL,KG_NUCLN_to_KG_KG_HVELEC_by_NUCL,Uranium,0,TRUE,0,0,0,0,0,0
KG,KG_OILN,KG_KG_HVELEC,KG_ATMP,KG_CO2STORN,OILT,KG_OILN_to_KG_KG_HVELEC_by_OILT,Oil,0,TRUE,0,0,0,0,0,0
