country,node,bus,carrier
KG,KG_BA,KG_BA_TRAN-PUB,Electricity
KG,KG_BA,KG_BA_TRAN-PRV,Electricity
KG,KG_CH,KG_CH_TRAN-PUB,Electricity
KG,KG_CH,KG_CH_TRAN-PRV,Electricity
KG,KG_JA,KG_JA_TRAN-PUB,Electricity
KG,KG_JA,KG_JA_TRAN-PRV,Electricity
KG,KG_NR,KG_NR_TRAN-PUB,Electricity
KG,KG_NR,KG_NR_TRAN-PRV,Electricity
KG,KG_OS,KG_OS_TRAN-PUB,Electricity
KG,KG_OS,KG_OS_TRAN-PRV,Electricity
KG,KG_TL,KG_TL_TRAN-PUB,Electricity
KG,KG_TL,KG_TL_TRAN-PRV,Electricity
KG,KG_YK,KG_YK_TRAN-PUB,Electricity
KG,KG_YK,KG_YK_TRAN-PRV,Electricity
KZ,KZ_NR,KZ_NR_TRAN-PUB,Electricity
KZ,KZ_NR,KZ_NR_TRAN-PRV,Electricity
KZ,KZ_SO,KZ_SO_TRAN-PUB,Electricity
KZ,KZ_SO,KZ_SO_TRAN-PRV,Electricity
KZ,KZ_WS,KZ_WS_TRAN-PUB,Electricity
KZ,KZ_WS,KZ_WS_TRAN-PRV,Electricity
UZ,UZ_UZ,UZ_UZ_TRAN-PUB,Electricity
UZ,UZ_UZ,UZ_UZ_TRAN-PRV,Electricity
